code,name,type
A01.002,"pepsin B",real
A01.002,"parapepsin I",alternative
A01.002,"pig gastric gelatinase",alternative
A01.002,"gelatinase, gastric ({Sus})",index
A01.003,gastricsin,real
A01.003,"pepsin C",alternative
A01.003,"seminal progastricsin",alternative
A01.003,"progastricsin, seminal",index
A01.004,"BACE1 g.p. ({Homo sapiens})",real
A01.004,"Asp2 protease",alternative
A01.004,"BACE1 g.p. ({Homo sapiens})",alternative
A01.004,beta-secretase,alternative
A01.004,"beta-site APP-cleaving enzyme",alternative
A01.004,memapsin-2,alternative
A01.004,"Alzheimer&rsquo;s disease beta-secretase (putative)secretase, beta (putative), Alzheimer&rsquo;s disease",index
A01.006,chymosin,real
A01.006,"chymosin A",alternative
A01.006,"chymosin B",alternative
A01.006,"chymosin C",alternative
A01.006,rennet,alternative
A01.006,rennin,alternative
A01.007,renin,real
A01.007,"angiotensin-forming enzyme",alternative
A01.007,angiotensinogenase,alternative
A01.007,"Ren1 g.p. ({Mus musculus})",alternative
A01.007,"renin-a ({Mus musculus})",alternative
A01.007,"renin-b ({Mus musculus})",alternative
A01.008,renin-2,real
A01.008,"Ren2 g.p. ({Mus musculus})",alternative
A01.008,"submandibular renin",alternative
A01.008,"renin, submandibular",index
A01.009,"cathepsin D",real
A01.009,"BmCatD g.p. ({Bombyx mori})",alternative
A01.009,CatD,alternative
A01.009,"cathepsin D1 ({Ictalurus punctatus})",alternative
A01.009,"cathepsin D2 ({Ictalurus punctatus})",alternative
A01.009,"CLN10 ({Homo sapiens})",alternative
A01.009,"CTSD g.p. ({Homo sapiens})",alternative
A01.009,"lysosomal aspartic protease ({Aedes aegypti})",alternative
A01.009,"longepsin ({Haemaphysalis longicornis})",alternative
A01.009,"todarepsin ({Todarodes pacificus})",alternative
A01.010,"cathepsin E",real
A01.010,"erythrocyte membrane aspartic proteinase",alternative
A01.010,"gastric cathepsin",alternative
A01.010,"slow-moving proteinase",alternative
A01.010,"aspartic proteinase, erythrocyte membranecathepsin, gastric",index
A01.011,penicillopepsin,real
A01.011,"{Penicillium janthinellum} aspartic proteinase",alternative
A01.011,"peptidase A",alternative
A01.011,"penicillopepsin JT-1",alternative
